[2026-05-26 14:58:15] SOAR BLOCK: IP=103.22.4.9, MAE=0.267481, Threshold=0.112271
[2026-05-26 14:58:45] SOAR BLOCK: IP=103.22.4.50, MAE=0.217884, Threshold=0.112271
[2026-05-26 14:58:46] SOAR BLOCK: IP=103.22.4.5, MAE=0.199275, Threshold=0.112271
[2026-05-26 14:58:51] SOAR BLOCK: IP=91.99.72.15, MAE=0.112708, Threshold=0.112271
[2026-05-26 14:59:00] SOAR BLOCK: IP=103.22.4.69, MAE=0.236394, Threshold=0.112271
[2026-05-26 14:59:16] SOAR BLOCK: IP=103.22.4.27, MAE=0.153639, Threshold=0.112271
[2026-05-26 14:59:32] SOAR BLOCK: IP=103.22.4.186, MAE=0.218922, Threshold=0.112271
[2026-05-26 14:59:59] SOAR BLOCK: IP=103.22.4.125, MAE=0.189326, Threshold=0.112271
[2026-05-26 15:00:25] SOAR BLOCK: IP=103.22.4.187, MAE=0.198212, Threshold=0.112271
[2026-05-26 15:00:45] SOAR BLOCK: IP=103.22.4.2, MAE=0.153639, Threshold=0.112271
[2026-05-26 15:01:15] SOAR BLOCK: IP=103.22.4.138, MAE=0.198773, Threshold=0.112271
[2026-05-26 15:01:16] SOAR BLOCK: IP=103.22.4.55, MAE=0.149859, Threshold=0.112271
[2026-05-26 15:01:28] SOAR BLOCK: IP=103.22.4.101, MAE=0.154419, Threshold=0.112271
[2026-05-26 15:02:03] SOAR BLOCK: IP=103.22.4.163, MAE=0.153588, Threshold=0.112271
[2026-05-26 15:02:15] SOAR BLOCK: IP=103.22.4.15, MAE=0.153639, Threshold=0.112271
[2026-05-26 15:02:53] SOAR BLOCK: IP=103.22.4.72, MAE=0.202386, Threshold=0.112271
[2026-05-26 15:03:24] SOAR BLOCK: IP=93.110.220.181, MAE=0.117674, Threshold=0.112271
[2026-05-26 15:03:28] SOAR BLOCK: IP=103.22.4.105, MAE=0.269009, Threshold=0.112271
[2026-05-26 15:04:10] SOAR BLOCK: IP=103.22.4.60, MAE=0.154999, Threshold=0.112271
[2026-05-26 15:05:02] SOAR BLOCK: IP=103.22.4.97, MAE=0.236038, Threshold=0.112271
[2026-05-26 15:05:16] SOAR BLOCK: IP=103.22.4.37, MAE=0.153639, Threshold=0.112271
[2026-05-26 15:05:19] SOAR BLOCK: IP=103.22.4.170, MAE=0.235168, Threshold=0.112271
[2026-05-26 15:05:34] SOAR BLOCK: IP=103.22.4.38, MAE=0.266959, Threshold=0.112271
